,Input ordering,Input size,Run number,Sorting algorithm,Time
0,sorted,10,1,Merge sort,0.4449754999996003
1,sorted,10,2,Merge sort,0.5213266000000658
2,sorted,10,3,Merge sort,0.5662203000001682
3,sorted,10,4,Merge sort,0.45556089999990945
4,sorted,10,5,Merge sort,0.4150657999998657
5,sorted,10,6,Merge sort,0.43427539999993314
6,sorted,10,7,Merge sort,0.41196539999964443
7,sorted,10,1,Heapsort,0.19214319999991858
8,sorted,10,2,Heapsort,0.19586549999985436
9,sorted,10,3,Heapsort,0.1953267999997479
10,sorted,10,4,Heapsort,0.20150199999989127
11,sorted,10,5,Heapsort,0.1786021999996592
12,sorted,10,6,Heapsort,0.24158530000022438
13,sorted,10,7,Heapsort,0.23766129999967234
14,sorted,10,1,Quicksort,0.23550710000017716
15,sorted,10,2,Quicksort,0.25638210000033723
16,sorted,10,3,Quicksort,0.2615499000003183
17,sorted,10,4,Quicksort,0.27568869999959134
18,sorted,10,5,Quicksort,0.2886458000002676
19,sorted,10,6,Quicksort,0.23825530000067374
20,sorted,10,7,Quicksort,0.27244599999994534
21,sorted,10,1,Built-in Python,0.21308289999979024
22,sorted,10,2,Built-in Python,0.29581340000004275
23,sorted,10,3,Built-in Python,0.2642596000005142
24,sorted,10,4,Built-in Python,0.18591490000017075
25,sorted,10,5,Built-in Python,0.1861179000006814
26,sorted,10,6,Built-in Python,0.18952509999962786
27,sorted,10,7,Built-in Python,0.24642690000018774
28,sorted,10,1,Numpy,0.15099110000028304
29,sorted,10,2,Numpy,0.2635168999995585
30,sorted,10,3,Numpy,0.16873719999966852
31,sorted,10,4,Numpy,0.17415369999980612
32,sorted,10,5,Numpy,0.2456694000002244
33,sorted,10,6,Numpy,0.15254149999964284
34,sorted,10,7,Numpy,0.18218620000061492
35,sorted,100,1,Merge sort,0.44321189999936905
36,sorted,100,2,Merge sort,0.2682758000000831
37,sorted,100,3,Merge sort,0.32242610000048444
38,sorted,100,4,Merge sort,0.29539349999959086
39,sorted,100,5,Merge sort,0.2924026999999114
40,sorted,100,6,Merge sort,0.2869778000003862
41,sorted,100,7,Merge sort,0.29320170000028156
42,sorted,100,1,Heapsort,0.33768440000039845
43,sorted,100,2,Heapsort,0.4545632999997906
44,sorted,100,3,Heapsort,0.5870505000002595
45,sorted,100,4,Heapsort,0.42636860000038723
46,sorted,100,5,Heapsort,0.3269566999997551
47,sorted,100,6,Heapsort,1.726243500000237
48,sorted,100,7,Heapsort,0.5091274999995221
49,sorted,100,1,Quicksort,0.3106724999997823
50,sorted,100,2,Quicksort,0.44316989999970247
51,sorted,100,3,Quicksort,0.40517840000029537
52,sorted,100,4,Quicksort,0.3310295999999653
53,sorted,100,5,Quicksort,1.0184680999991542
54,sorted,100,6,Quicksort,0.314191700000265
55,sorted,100,7,Quicksort,0.337367400000403
56,sorted,100,1,Built-in Python,0.2281974999996237
57,sorted,100,2,Built-in Python,0.21345250000013039
58,sorted,100,3,Built-in Python,0.21948869999960152
59,sorted,100,4,Built-in Python,0.21429629999965982
60,sorted,100,5,Built-in Python,0.21945189999951253
61,sorted,100,6,Built-in Python,0.21405550000054063
62,sorted,100,7,Built-in Python,0.21465159999934258
63,sorted,100,1,Numpy,0.21210419999988517
64,sorted,100,2,Numpy,0.2035160999994332
65,sorted,100,3,Numpy,0.22966590000032738
66,sorted,100,4,Numpy,0.2020155000000159
67,sorted,100,5,Numpy,0.19670200000018667
68,sorted,100,6,Numpy,0.21351870000034978
69,sorted,100,7,Numpy,0.21786490000067715
70,sorted,1000,1,Merge sort,0.36704480000025796
71,sorted,1000,2,Merge sort,0.3947060999998939
72,sorted,1000,3,Merge sort,0.3830425000005562
73,sorted,1000,4,Merge sort,0.38890079999964655
74,sorted,1000,5,Merge sort,0.3740940999996383
75,sorted,1000,6,Merge sort,0.39696099999946455
76,sorted,1000,7,Merge sort,0.46037929999965854
77,sorted,1000,1,Heapsort,0.256351199999699
78,sorted,1000,2,Heapsort,0.20380199999999604
79,sorted,1000,3,Heapsort,0.22004199999992125
80,sorted,1000,4,Heapsort,0.20776500000010856
81,sorted,1000,5,Heapsort,0.23497889999998733
82,sorted,1000,6,Heapsort,0.22962740000002668
83,sorted,1000,7,Heapsort,0.2168749000002208
84,sorted,1000,1,Built-in Python,0.20536879999963276
85,sorted,1000,2,Built-in Python,0.22366750000037428
86,sorted,1000,3,Built-in Python,0.2245244999994611
87,sorted,1000,4,Built-in Python,0.20530990000042948
88,sorted,1000,5,Built-in Python,0.20654740000009042
89,sorted,1000,6,Built-in Python,0.1892801000003601
90,sorted,1000,7,Built-in Python,0.21561519999977463
91,sorted,1000,1,Numpy,0.2812807000000248
92,sorted,1000,2,Numpy,0.3507051999995383
93,sorted,1000,3,Numpy,0.3044252999998207
94,sorted,1000,4,Numpy,0.2923986000005243
95,sorted,1000,5,Numpy,0.30587590000050113
96,sorted,1000,6,Numpy,0.3198037000001932
97,sorted,1000,7,Numpy,0.31911849999960396
98,sorted,10000,1,Merge sort,0.180009799999425
99,sorted,10000,2,Merge sort,0.18120169999929203
100,sorted,10000,3,Merge sort,0.17510290000063833
101,sorted,10000,4,Merge sort,0.1846784999997908
102,sorted,10000,5,Merge sort,0.4631579999995665
103,sorted,10000,6,Merge sort,0.19511770000008255
104,sorted,10000,7,Merge sort,0.19095480000032694
105,sorted,10000,1,Heapsort,0.29194900000038615
106,sorted,10000,2,Heapsort,0.29120980000061536
107,sorted,10000,3,Heapsort,0.30135020000034274
108,sorted,10000,4,Heapsort,0.3391096000004836
109,sorted,10000,5,Heapsort,0.2920499000001655
110,sorted,10000,6,Heapsort,0.3526306999992812
111,sorted,10000,7,Heapsort,0.3045994000003702
112,sorted,10000,1,Built-in Python,0.2106830999991871
113,sorted,10000,2,Built-in Python,0.2270478999998886
